part,model,benchmark,method,n,objective,subjective
part2,llama,cseo_bench,raid_gseo.full_pipeline,200,0.3245614690204407,3.815683404015731
part2,llama,geo_bench,cseo.content_improvement,200,0.32956403705375675,3.798202664247315
part2,llama,geo_bench,cseo.llm_guidance,200,0.5512799687769872,5.093514513026227
part2,llama,geo_bench,geo.cite_sources,200,0.3401986527152899,3.4731101404589912
part2,llama,geo_bench,geo.quotation_addition,200,0.2626499609739972,2.9969198558228003
part2,llama,geo_bench,geo.statistics_addition,200,0.25033876357290846,3.298376910777449
part2,llama,geo_bench,if_geo.full_pipeline,192,0.5960158373166472,4.534014687386812
part2,llama,geo_bench,original.no_rewrite,200,0.0,0.0
part2,llama,geo_bench,raid_gseo.full_pipeline,200,0.2734753355195372,3.443180933849498
part2,mistral,cseo_bench,cseo.content_improvement,200,0.2609685639969816,2.5289463552725038
part2,mistral,cseo_bench,cseo.llm_guidance,200,0.37639791697352387,2.6360334518278585
part2,mistral,cseo_bench,geo.cite_sources,200,0.18128495072976183,2.5208726977244043
part2,mistral,cseo_bench,geo.quotation_addition,200,0.20634799448289504,2.36065955135664
part2,mistral,cseo_bench,geo.statistics_addition,200,0.09866167914839837,2.0730847265860226
part2,mistral,cseo_bench,if_geo.full_pipeline,197,0.5120058787742837,3.304558322764192
part2,mistral,cseo_bench,original.no_rewrite,200,0.0,0.0
part2,mistral,cseo_bench,raid_gseo.full_pipeline,200,0.3702151869295384,3.612777299178183
part2,mistral,geo_bench,cseo.content_improvement,200,0.2147756327876087,3.01269139352077
part2,mistral,geo_bench,cseo.llm_guidance,200,0.5604040406808799,4.188691277533793
part2,mistral,geo_bench,geo.cite_sources,200,0.2301630517205813,3.1858859701668094
part2,mistral,geo_bench,geo.quotation_addition,200,0.4027330494306922,4.028169834649599
part2,mistral,geo_bench,geo.statistics_addition,200,0.1913165658123922,2.99989870264567
part2,mistral,geo_bench,if_geo.full_pipeline,192,0.6649217725108327,5.019955946826337
part2,mistral,geo_bench,original.no_rewrite,200,0.0,0.0
part2,mistral,geo_bench,raid_gseo.full_pipeline,200,0.4200776553305762,4.117744317048535
part2,qwen,cseo_bench,cseo.content_improvement,200,0.02295369076970373,2.780719329778571
part2,qwen,cseo_bench,cseo.llm_guidance,200,0.31773637960203627,3.9680011656127294
part2,qwen,cseo_bench,geo.cite_sources,200,0.07531407270662237,2.4220351961887676
part2,qwen,cseo_bench,geo.quotation_addition,200,0.11058597138890486,2.3152208378681367
part2,qwen,cseo_bench,geo.statistics_addition,200,0.12277234960490482,2.5679970097902096
part2,qwen,cseo_bench,if_geo.full_pipeline,197,0.2904920769919337,4.659899352117494
part2,qwen,cseo_bench,original.no_rewrite,200,0.0,0.0
part2,qwen,cseo_bench,raid_gseo.full_pipeline,200,-0.014777891500028251,2.2431591429675253
part2,qwen,geo_bench,cseo.content_improvement,200,0.04218793890116803,2.6774219881131636
part2,qwen,geo_bench,cseo.llm_guidance,200,0.4884923520855494,4.272828437373671
part2,qwen,geo_bench,geo.cite_sources,200,0.13341749550004361,2.969670292628416
part2,qwen,geo_bench,geo.quotation_addition,200,0.1650757698329396,2.74984273099275
part2,qwen,geo_bench,geo.statistics_addition,200,0.11036848295745588,2.917145104574899
part2,qwen,geo_bench,if_geo.full_pipeline,192,0.31514907044496254,3.86767488414371
part2,qwen,geo_bench,original.no_rewrite,200,0.0,0.0
part2,qwen,geo_bench,raid_gseo.full_pipeline,200,-0.020635415770201324,2.698055393017006
